"impresso","enviadomotorista","clienteconfirma","ctes","criado_em","resolvida","telefone","TICKET _D","data_ticket","status","assunto"
false,false,false,18015951972807,2026-03-25 08:07:58.707,false,5571981453368,,2026-03-24 22:18:44.823,,
false,false,false,18097901285373,2026-03-25 09:06:01.629,false,,,2026-03-25 12:05:39.117,,
false,false,false,18097901304606,2026-03-25 09:57:47.988,false,,,2026-03-25 12:57:47.991,,
false,false,false,18015952270095,2026-03-25 12:02:37.517,false,,,2026-03-24 22:30:16.104,,
false,false,false,18199700490684,2026-03-25 12:02:51.372,false,,,2026-03-25 15:02:51.374,,
false,false,false,18000100228333,2026-03-25 13:36:46.923,false,,,2026-03-25 16:33:40.121,,
false,false,false,18256300019909,2026-03-25 12:03:26.538,false,,,2026-03-25 10:51:59.882,,
false,false,false,18015951836834,2026-03-25 12:03:46.363,false,,,2026-03-25 15:03:46.365,,
false,false,false,18015952512311,2026-03-25 12:47:58.913,false,,,2026-03-25 15:47:58.914,,
false,false,false,18176302930595,2026-03-25 12:14:32.913,false,5575983332737,,2026-03-25 12:57:37.103,,
false,false,false,10083476955281,2026-03-25 12:24:21.113,false,,,2026-03-25 15:24:21.115,,
false,false,false,18146400240977,2026-03-25 12:25:57.023,false,,,2026-03-25 15:25:57.026,,
false,false,false,18015952575208,2026-03-25 12:50:54.842,false,,,2026-03-25 15:50:54.844,,
false,false,false,18244300041151,2026-03-27 10:26:07.960,false,,,2026-03-25 15:21:41.119,,
false,false,false,18015952271877,2026-03-26 15:17:55.552,false,,,2026-03-24 22:28:41.754,,
false,false,false,18257500074244,2026-05-16 11:13:32.766,true,0,5203389,2026-04-17 00:00:00.000,Resolvido,Acareação
false,false,false,18155600364639,2026-03-26 11:22:56.650,false,5571999363930,,2026-03-25 10:38:52.453,,
false,false,false,10081229841160,2026-03-27 10:24:46.069,false,,,2026-03-25 16:23:04.657,,
false,false,false,18121604456759,2026-05-16 11:13:33.567,true,0,5203628,2026-04-17 00:00:00.000,Resolvido,Comprovante de entrega
false,false,false,18123901685420,2026-05-26 10:26:43.801,true,0,5277934,2026-04-27 00:00:00.000,Resolvido,Acareação
false,true,false,18159608350620,2026-03-26 07:30:08.807,false,,,2026-03-26 10:30:08.811,,
false,false,false,18015951976135,2026-03-28 10:32:26.871,false,5571992667241,,2026-03-24 22:19:43.998,,
